Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of Program,Core or Non-Core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
1997,KRCA,N/A,LOS ANGELES,3,ANALOG,STORIES OF CHINESE IDIOMS- CHINESE LANGUAGE,CORE,SYNDICATED,MON & THURS 4:30-5:00 PM,8,0,30,5,12,This program is educational and intended to inform children 16 years of age and under. This series is designed to tell stories of Chinese idioms and how they began. It also explains their actual meaning and teaches children how to apply them to their daily lives.,99,N/A,N/A,N/A
1997,KRCA,N/A,LOS ANGELES,3,ANALOG,"KISS, KISS, KISS- KOREAN LANGUAGE",CORE,SYNDICATED,TUES 4:30-5:00 PM,13,0,30,3,12,"This program is educational and intended to inform children 16 years of age and under. This series instructs children on a variety of subjects such as proper manners, science, and the English language using games, drama and cartoons.",99,N/A,N/A,N/A
1997,KRCA,N/A,LOS ANGELES,3,ANALOG,KRCA KID'S CLUB,CORE,SYNDICATED,WED 4:30-5:00 PM & SAT 9:30-10:00 AM,27,0,30,5,12,"This program is educational and intended to inform children 16 years of age and under. The series is designed to educate children in a variety of different subjects such as science, geography, environmental conservation and proper behavior.",99,N/A,N/A,N/A
1997,KRCA,N/A,LOS ANGELES,3,ANALOG,AFTAB KIDS- FARSI LANGUAGE,CORE,SYNDICATED,FRI 4:30-5:00 PM,13,0,30,6,10,"This program is educational and intended to inform children 16 years of age and under. The series is designed to instruct children in a variety of different subjects, such as proper behavior, lessons in their ethnic heritage, and the importance of developing good habits.",99,N/A,N/A,N/A
1997,KSCI,N/A,LOS ANGELES,3,ANALOG,TV KINDERGARTEN,CORE,SYNDICATED,MON-FRI 9:00-9:30 AM,66,2,30,4,6,"TV Kindergarten: This series is targeted to 4-6 years olds in the nearly 75,000 Korean American household in Southern California. ""TV Kindergarten"" combines live action with colorful animation and music to provide education and instruction in such subjects as addition and subtraction, the changing weather seasons and why they occur, the safest way to cross the street, and the advantages of exercising. Koren youngsters are featured demonstrating many of these tasks and singing specially composed songs that help explain the subjects being presented.",N/A,N/A,N/A,N/A
1997,KSCI,N/A,LOS ANGELES,3,ANALOG,NURSERY STORIES,CORE,SYNDICATED,THURS 11:00-11:30 AM,13,2,30,8,14,"Nursery Stories: produced in Taiwan, ""Nursery Stories"" targets KSCI's Chinse youth audience. The show is in Mandarin, with Chinese subtitling that also makes it accessible to Cantonese speaking and hearing imparied viewers. ""Nursery Stories"" teaches moral and behavioral lessons in the form of traditional Chinese tales and fables produced as colorful costume dramas.",N/A,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,ANIMATED CLASSICS,CORE,SYNDICATED,SAT 9:00-10:00 AM,13,0,60,7,16,"""ANIMATED CLASSICS"" - shows one book of treasured children's story and brings it to life through animation. Children delight in the storytelling adventures of these high quality stories that are well known to parents and appeal to the whole family. Children are encouraged to read other fantastic stories.",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,BOOKMICE,CORE,SYNDICATED,MON-FRI 7:30-8:00 AM,66,0,30,4,8,"""BOOKMICE"" - Three fun-loving mice, live secretly behind the walls of the neighborhood library. Humor, wonder, stories, music and delightful animation are present in the everyday adventures of the mice, as they explore the wondrous world of books and the library's many friends and activities. Along with encouraging love of reading, these programs promote social values, as children learn about helping others, the importance of honesty and overcoming fears.",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,NEW ZOO REVUE,CORE,SYNDICATED,MON-FRI 7:00-7:30 AM,66,0,30,4,8,"""NEW ZOO REVUE"" - This show brings an understanding of the good and bad in life to children by teaching a way of life through music. The show has three costumed characters and features two human stars who guide children through situations they will encounter day to day with the use of music, song and dance.",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,ELECTRIC PLAYGROUND,CORE,SYNDICATED,SUN 7:00-7:30 PM,13,0,30,13,16,"""ELECTRIC PLAYGROUND"" - This is an educational show that focuses on the world of computers, computer software, computer games, and the Internet. It attempts to teach children more about computers and how they are forever changing the world as we know it.",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,JACK HANNA'S ANIMAL ADVENTURES,CORE,SYNDICATED,SAT 10:00-10:30 AM,13,0,30,7,13,"""JACK HANNA'S ANIMAL ADVENTURES"" - This program explores the world of animals in their natural habitat. Jack takes his young viewers on a fascinating journey into natural habitats and zoological parks to reveal secrets of the animal kingdom.",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,LA ISLA DE JORDAN,CORE,SYNDICATED,SAT 7:30-8:00 AM,13,0,30,4,11,"""LA ISLA DE JORDAN"" - This is a non-violent, educational series featuring an endearing cast of zany puppet characters. The series is presented with dialogue spoken in accent-neutral Spanish. The show is designed to educate monolingual Spanish speaking and bilingual Spanish speaking children. The program revolves around several characters who live and play at the Animal Trackers Zoo. By focusing on specific ""real life"" themes, the series strives to develop the ""Emotional IQ"" of children as they learn to solve problems through the experiences of the characters. In addition, children learn about animals and the environment.",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,MARK'S WIRED WORLD,CORE,SYNDICATED,SUN 7:00-7:30 PM,13,0,30,12,16,"""MARK'S WIRED WORLD"" - The program informs and educates kids in subjects relative to computers, such as how computer animation works, and teaches them values such as responsibility by instructing them in how to care for their computer pets.",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,SAVE OUR STREETS,CORE,SYNDICATED,SAT 8:00-8:30 AM & 10:30-11:00 AM,13,0,30,13,16,"""SAVE OUR STREETS"" - This series digs beneath the surface to uncover the details viewers really want including useable information about crime prevention and self-protection. The National Crime Prevention Council works in association with Save Our Streets to help present compelling character-driven stories as while examining the problems of crime in America.",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,CLICK,CORE,SYNDICATED,SAT 7:00-7:30 AM,13,0,30,13,16,"""CLICK"" - This is a teen oriented educational game show. It teaches teens the importance of team work and incorporates questions from the world of entertainment and sports, as well as questions in math, science, literature, history, and current events.",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,CENTER STREET,NON-CORE,SYNDICATED,SAT 6:00-6:30 AM,13,0,30,13,16,"""CENTER STREET"" - This program is hosted by teenagers and focuses on teaching teens how to successfully deal with the issues and pressures surrounding our teenagers in the world. ",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,PEER PRESSURE,NON-CORE,SYNDICATED,SAT 6:30-7:00 AM,13,0,30,13,16,"""PEER PRESSURE"" - This is a game show which incorporates social and cultural issues facing today's teens and teaches them how to make the right decisions. The program provides teens a better understanding of the factors that influence the choices that they make and helps them make educated choices that will further their social and emotional development.",99,N/A,N/A,N/A
1997,KSTV,N/A,LOS ANGELES,9,ANALOG,JUST IMAGINE,NON-CORE,SYNDICATED,SAT 5:30-6:00 AM,0,0,30,3,11,"""JUST IMAGINE"" - Each episode is designed to reveal to children the world around them and to help kids answer the question, ""What do you want to be when you grow up ?"" The show invites children to dream about their future while reinforcing responsibility and discipline.",99,N/A,N/A,N/A
1997,KTBN-TV,TBN,LOS ANGELES,4,ANALOG,JUST THE FACTS,CORE,NETWORK,SAT 7:00-7:30 AM,12,1,30,10,16,JUST THE FACTS educates and informs children between the ages of 10-16 by teaching critical thinking and problem solving skills based on Bible principles to help adolescents deal with issues that affect them.,N/A,N/A,N/A,N/A
1997,KTBN-TV,TBN,LOS ANGELES,4,ANALOG,SUPERBOOK,CORE,NETWORK,SAT 7:30-8:00 AM,10,3,30,5,10,"SUPERBOOK educates and inform children between the ages of 5-10 by teaching Bible stories that highlight the important character traits chldren will need in life such as courage, loyalty, friendship and responsibility.",N/A,N/A,N/A,N/A
1997,KTBN-TV,TBN,LOS ANGELES,4,ANALOG,QUIGLEY'S VILLAGE,CORE,NETWORK,SAT 8:00-8:30 AM,8,5,30,2,7,QUIGLEY'S VIILAGE EDUCATES AND INFORMS CHILDREN BETWEEN THE AGES 2-7 BY TEACHING IMPORTANT LIFESKILLS BASED ON POSITIVE AND PRATICAL PRINCIPLES.,N/A,N/A,N/A,N/A
1997,KTBN-TV,TBN,LOS ANGELES,4,ANALOG,GOSPEL BILL,CORE,NETWORK,SAT 8:30-9:00 AM,1,0,30,6,12,GOSPEL BILL educates and informs children between the ages of 5-12 by teaching positive social skills and self awareness based on Biblical principles.,99,N/A,N/A,N/A
1997,KTBN-TV,TBN,LOS ANGELES,4,ANALOG,KIDS LIKE YOU,CORE,NETWORK,SAT 9:00-9:30 AM,10,3,30,6,12,KIDS LIKE YOU educates and informs children between the ages of 6-12 by presenting challenging situations with solutions that develop character.,N/A,N/A,N/A,N/A
1997,KTBN-TV,TBN,LOS ANGELES,4,ANALOG,COLBY'S CLUBHOUSE,CORE,NETWORK,SAT 9:30-10:00 AM,12,2,30,6,12,COLBY'S CLUBHOUSE educates and informs children the ages of 6-12 about how to successfully deal with everyday situations and challenges using the principles of the Bible.,N/A,N/A,N/A,N/A
1997,KTBN-TV,TBN,LOS ANGELES,4,ANALOG,THE KID'S CLUB,CORE,LOCAL,SAT 10:00-10:30 AM,12,1,30,3,9,THE KID'S CLUB educates and informs children between the ages of 3-9 about history through the Bible as well as teaching children about safety and offering exercise instruction.,N/A,N/A,N/A,N/A
1997,KTBN-TV,TBN,LOS ANGELES,4,ANALOG,FAITHVILLE,CORE,NETWORK,SAT 10:30-11:00 AM,11,2,30,4,16,FAITHVILLE educates and informs cildren between the ages of 4-16 about the value of team work and the importance of the individual within the community.,N/A,N/A,N/A,N/A
1997,KTLA,WB,LOS ANGELES,3,ANALOG,CAPTAIN PLANET,CORE,NETWORK,SUN 9:30-10:00 AM & MON-FRI 2:30-3:00 PM,3,0,30,2,11,The Key educational objective of the program is to create an awareness and understanding of the enivornment and dangers of pollution. The program also seeks to teach children how to work together to solve problems.,99,N/A,N/A,N/A
1997,KTLA,WB,LOS ANGELES,3,ANALOG,CHANNEL UMPTEE- 3,CORE,NETWORK,FRI 2:00-2:30 PM & SAT 7:00-7:30 AM,3,0,30,6,12,"""Channel Umptee-3"" is designed to help children learn about science, technology, mathematics, psychology, history, music, literature, and art and to use critical thinking in analyzing the information provided. Dramatic situations, humor and vocabulary are used to make the program enjoyable for children in the target group.",99,N/A,N/A,N/A
1997,KTTV,FOX,LOS ANGELES,3.6,ANALOG,BOBBY'S WORLD,CORE,NETWORK,MON-THUR 2:00-2:30 PM & SAT 7:00-7:30 AM,66,1,30,4,11,"The programs focus on dealing with the challenges of growing up. As children experience the various scenarios that Bobby finds himself in, they learn about family, friends, and values. The stories offer children, particularly the 4-11 year old audience, an opportunity to learn how to cope and understand some of the complexities of the world.",N/A,N/A,N/A,N/A
1997,KTTV,FOX,LOS ANGELES,3.6,ANALOG,LIFE WITH LOUIE,CORE,NETWORK,SAT 7:30-8:00 AM & 10:00-10:30 AM,18,1,30,6,11,"As Louie shares the tales of his childhood years, children can relate to the trials and tribulations of childhood joys and fears. 6 to 11 year olds can particularily share in Louie's experiences growing up, as the stories explore issues and scenarios that are common to growing up, yet might be perplexing to a child. The series offers children a chance to consider what they might do if faced with the same kinds of problems that Louie copes with.",N/A,N/A,N/A,N/A
1997,KTTV,FOX,LOS ANGELES,3.6,ANALOG,C-BEAR AND JAMAL,CORE,NETWORK,FRI 2:00-2:30 PM,13,0,30,4,11,"This show focuses on the adventures of a young boy in an urban setting. The multicultural cast includes Jamal's sidekick C-Bear, a stuffed bear with special powers used to illustrate various moral lessons appropriate for an audience of 4-11 year olds. Each episode contributes to the educational, psychosocial, and intellectual development of children by incorporating short vignettes that encourage positive family and peer relationships as well as sound moral development.",99,N/A,N/A,N/A
1997,KTTV,FOX,LOS ANGELES,3.6,ANALOG,LIFE WITH LOUIE,NON-CORE,NETWORK,11/22 7:30-8:00 AM & 12/25 3:00-3:30 PM,2,0,30,6,11,"As Louie shares the tales of his childhood years, children can relate to the trials and tribulations of childhood joys and fears. 6 to 11 year olds can particularily share in Louie's experiences growing up, as the stories explore issues and scenarios that are common to growing up, yet might be perplexing to a child. The series offers children a chance to consider what they might do if faced with the same kinds of problems that Louie copes with.",99,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,SAVED BY THE BELL- THE NEW CLASS I,CORE,NETWORK,SAT 3:00-3:30 PM,14,0,30,13,16,"""Saved By The Bell-The New Class"" explores social themes through the daily school life of six teenage friends at Bayside High who help each other make the most of growing up in a complicated world. The Bayside kids give teens a useful perspective on many of the tough issues they have to face both in and out of the classroom. Through relatable storylines, this multi-ethnic cast serves as role models as they explore such issues as dealing with the death of a loved one, the right to say ""no"", the meaning of heroism, and teenage alcohol use. Add that to the normal stresses of sustaining friendships, performing well in school, and developing an identity, and the scene at Bayside High is packed with more than the usual challenges of high school life.",99,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,SAVED BY THE BELL- THE NEW CLASS II,CORE,NETWORK,SAT 4:00-4:30 PM,15,0,30,13,16,"""Saved By The Bell-The New Class"" explores social themes through the daily school life of six teenage friends at Bayside High who help each other make the most of growing up in a complicated world. The Bayside kids give teens a useful perspective on many of the tough issues they have to face both in and out of the classroom. Through relatable storylines, this multi-ethnic cast serves as role models as they explore such issues as dealing with the death of a loved one, the right to say ""no"", the meaning of heroism, and teenage alcohol use. Add that to the normal stresses of sustaining friendships, performing well in school, and developing an identity, and the scene at Bayside High is packed with more than the usual challenges of high school life.",99,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,HANG TIME I,CORE,NETWORK,SAT 9:30-10:00 AM,13,0,30,13,16,"""Hang Time"" follows the Deering Tornados, a boy's basketball team in an Indiana High School that is dealing with the issue of welcoming and integrating a female player into the social and interpersonal fabric of the team. The series follows the starting line-up through its basketball seasons and explores both personal themes of adolescent life, as well as the social themes which relate to sportsmanship, fair play, jealousy, teamwork, cooperation and competition. As the team progresses through each season, the audience will see them develop skills in several areas. These include establishing priorities, managing conflict, developing self-confidence, respecting differences, and reducing bias in behavior towards others. There is an emphasis on interpersonal competence and teamwork which demonstrates to the audience ways to develop positive self-concepts yet also make and maintain effective social relationships.",99,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,HANG TIME II,CORE,NETWORK,SAT 10:00-10:30 AM,12,0,30,13,16,"""Hang Time"" follows the Deering Tornados, a boy's basketball team in an Indiana High School that is dealing with the issue of welcoming and integrating a female player into the social and interpersonal fabric of the team. The series follows the starting line-up through its basketball seasons and explores both personal themes of adolescent life, as well as the social themes which relate to sportsmanship, fair play, jealousy, teamwork, cooperation and competition. As the team progresses through each season, the audience will see them develop skills in several areas. These include establishing priorities, managing conflict, developing self-confidence, respecting differences, and reducing bias in behavior towards others. There is an emphasis on interpersonal competence and teamwork which demonstrates to the audience ways to develop positive self-concepts yet also make and maintain effective social relationships.",99,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,NBA INSIDE STUFF,CORE,NETWORK,SAT 10:30-11:00 AM,12,1,30,13,16,"Also included in the TNBC lineup is ""NBA Inside Stuff,"" a half hour news magazine program directed at teens between the ages of 13-16. The program features the pro-social off-court activities of male and female basketball players, coaches, team personnel and teenage athletes. An expert educational consultant works with the producers and writers of the show to make sure that the program segments are based on a curriculum inspired by the U.S. Department of Education's Goals 2000, with particular focus on messages encouraging the following values - school completion, community service, cooperation, tolerance of differences, healthful practices and athletics, peaceful conflict resolution and global awareness. These educational and informational messages are conveyed primarily through real life examples, interviews and commentary by the program's host. Weekly features on players and other individuals help the audience see how these individuls were able to overcome various obstacles in order to achieve their goals.",N/A,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,CITY GUYS,CORE,NETWORK,SAT 3:30-4:00 PM,14,0,30,13,16,"The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories - intellectual-cognitive and/or social-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved in this series by exploring the pressures of living in a big city environment where situations are sometimes so difficult and challenging, kids have to learn sophisticated and responsible decision-making to be safe and stay focused. The series follows the encounters and problem-solving of two young men through an eventful school year at Manhattan High and shows teens how to work with their principal, family and friends to be successful.",99,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,JACK HANNA'S ANIMAL ADVENTURES,CORE,SYNDICATED,SAT 4:30-5:00 PM,17,2,30,12,16,this live action program is designed to meet the educational and informational need of children.,N/A,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,SAVED BY THE BELL: THE NEW CLASS (1),NON-CORE,NETWORK,8:00 3: 17,14,0,30,13,16,The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode.,99,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,SAVED BY THE BELL: THE NEW CLASS (2),NON-CORE,NETWORK,12:00,15,0,30,13,16,The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode.,99,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,HANG TIME I,NON-CORE,NETWORK,8:00,13,0,30,13,16,The educational objective of this program is to demonstrate how the knowledge of one or more of the characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode.,99,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,HANG TIME II,NON-CORE,NETWORK,8:30,12,1,30,13,16,The educational objective of this program is to demonstrate how the knowledge of one or more of the characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode.,N/A,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,NBA: INSIDE STUFF,NON-CORE,NETWORK,11:00,12,1,30,13,16,"The educational objective of this program is to introduce the teen audience to the pro-social, off-court activities of basketball players and other individuals, and to individuals who have overcome various obstacles in order to achieve their goals.",1,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,CITY GUYS,NON-CORE,NETWORK,8:30,14,0,30,13,16,The educational objective of this program is to demonstrate how the knowledge of one or more of the characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode.,99,N/A,N/A,N/A
1997,KVBC,NBC,LOS ANGELES,3.19,ANALOG,JACK HANNA'S ANIMAL ADVENTURES,NON-CORE,SYNDICATED,"12:30, 12:00, 2:30, 3:30PM-11:00, 11:30",17,2,30,12,16,this live action program is designed to meet the educational and informational need of children.,2,N/A,N/A,N/A
1997,KVEA,TELEMUNDO,LOS ANGELES,3,ANALOG,ACRANDINA,CORE,NETWORK,MON-FRI 7:00-7:30 AM & SUN 8:30-9:00 AM,91,0,30,1,12,This educational/informational program targets children under 12 yrs. of age. Arcandina delivers an important message on what is harmful to the environment and offers solutions on how to preserve it.,99,N/A,N/A,N/A
1997,KVEA,TELEMUNDO,LOS ANGELES,3,ANALOG,LIFT- OFF,CORE,NETWORK,MON-FRI 7:00-7:30 AM & SUN 8:30-9:00 AM,15,0,30,3,8,"Lift-Off is designed to educate and enrich the imagination of children by means of history and amusing characters, they discover that they are capable to confront certain situations and resolve their own problems.",99,N/A,N/A,N/A
1997,KVEA,TELEMUNDO,LOS ANGELES,3,ANALOG,KOLITAS,NON-CORE,NETWORK,MON-FRI 7:30-8:00 AM,12,0,30,1,12,"""KOLITAS"" - Interaction among children and mascot through various games and songs. Each program has segments discussing various subjects. Topics discussed are rules of tennis, the environment, importance of education and friendship, how to build a telephone, etc.",99,N/A,N/A,N/A
1997,KWHY,N/A,LOS ANGELES,3,ANALOG,CHIQUITRAN,CORE,LOCAL,SUN 7:00-9:00 AM,13,0,120,4,12,"Chiquitran is based on the concept of teaching through entertainment. The program deals with a specific topic - such as recycling, or a culture as the Aztecs. Chiquitran also includes visits to the museum or zoo, reading and a children's newscast, with interviews and artists, sports figures, etc. Chiquitran is a result of KWHY's commitment of L.A.'s hispanic children. This program airs free from commercial interruption.",99,N/A,N/A,N/A
1997,KWHY,N/A,LOS ANGELES,3,ANALOG,BOOKMICE,CORE,LOCAL,SAT 7:00-8:00 AM,13,0,60,4,12,"""BOOKMICE"" - Three fun-loving mice, live secretly behind the walls of the neighborhood library. Humor, wonder, stories, music and delightful animation are present in the everyday adventures of the mice, as they explore the wondrous world of books and the library's many friends and activities. Along with encouraging love of reading, these programs promote social values, as children learn about helping others, the importance of honesty and overcoming fears.",99,N/A,N/A,N/A
1997,KZKI,N/A,LOS ANGELES,3,ANALOG,WORSHIP FOR KIDS,CORE,LOCAL,MON 7:00-7:30 AM,13,0,30,4,8,"""WORSHIP FOR KIDS"" - This program is devoted to giving kids the opportunity to learn and to worship God. The show uses Biblical readings to illustrate a moral teaching and challenges children to apply Christian values to everyday life situations.",99,N/A,N/A,N/A
1997,KZKI,N/A,LOS ANGELES,3,ANALOG,JUST KIDS,CORE,LOCAL,TUES 7:00-7:30 AM,14,0,30,5,9,"""JUST KIDS"" - This is a program designed to inform children in both educational and spiritual matters through the use of informative and interesting segments. A cast of regular characters share insight that will help children grow in practical ways.",99,N/A,N/A,N/A
1997,KZKI,N/A,LOS ANGELES,3,ANALOG,BECKY'S BARN,CORE,LOCAL,WED 7:00-7:30 AM,13,0,30,3,7,"""BECKY'S BARN"" - This is a program that teaches children both educational and morality lessons through a cast of real life puppet characters whose lives revolve around a farm specifically Becky's Barn. Each episode combines spiritual and educational concepts along with health and safety tips.",99,N/A,N/A,N/A
1997,KZKI,N/A,LOS ANGELES,3,ANALOG,SUNSHINE FACTORY,CORE,LOCAL,THURS 7:00-7:30 AM,13,0,30,5,9,"""SUNSHINE FACTORY"" - A show devoted to teaching children how to morally resolve problems and deal with emotional issues. The show centers around the owners of a fixit shop and some of the people who live in the neighborhood. Each week, a specific issue is raised at the shop and the characters take a special trip to the Sunshine Factory to learn how to positively deal with the issue.",99,N/A,N/A,N/A
1997,KZKI,N/A,LOS ANGELES,3,ANALOG,SONSHINY DAY,CORE,LOCAL,FRI 7:00-7:30 AM,13,0,30,2,6,"""SONSHINY DAY"" - This program teaches children about moral values and practical Christian living through scripture memorization, puppets, singing and funfilled activities. The goal is to help children learn how to deal with relationships, their questions about God, morality lessons and to bring hope to the children.",99,N/A,N/A,N/A
1997,KZKI,N/A,LOS ANGELES,3,ANALOG,JOY JUNCTION,CORE,LOCAL,SAT 7:00-7:30 AM,13,0,30,8,12,"""JOY JUNCTION"" - This is a program designed to be an interactive learning experience. Set in a Western town, Joy Junction features a cast of characters and a studio audience. Kids in the audience participate in a game show format while the show's characters play out a story that teaches kids a pro-social message and morality lesson in a way that has a long lasting impact.",99,N/A,N/A,N/A
