Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days,,,,,
2000,WMUR-TV,ABC,"Boston, MA",3,Analog,Disney's One Saturday Morning,Core,Network,Saturdays 8:30-10:30AM,9,0,120,8,12,"This two-hour program block features three half-hour educational series in combination with various short-form educational elements. The latter include ""Find Out Why"" (physical science shorts produced in association with the National Science Foundation), ""Great Minds ... Think for Themselves"" (American history segments voiced by Robin Williams), ""What's My Name?"" (facts about interesting figures in world history), ""What's the Diff"" (game segments that teach visual discrimination and analytical skills), ""Let's Go!"" (geography and cultural information segments) and ""Flyndiggery Do: Where'd it Go?"" (short segments describing animal behavior). ""Disney's Recess"" is a collection of animated stories about six fourth-grade children who attend public school. These children are an ethnically and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to middle childhood: conflicts with authority figures, school and family rules, issues of fairness, peer pressure and coping with disappointment. A number of episodes revolve around class bullies or teacher's pets. Series episodes provide opportunities for parent/child discussions about values. ""Disney's The Weekenders"" introduces four twelve-year-olds who have been friends since kindergarten. They attend middle school in southern California and spend time together on weekends. Their family circumstances are diverse: Tino is the only son of a single mother; Carver is the middle child in an affluent African-American family; Tish comes from an Easteren European immigrant family and Lor is the only girl among fourteen sports-minded brothers. Stories explore topics such as parent/child relations, sibling rivalry, acculturation, competition vs. compromise, responsibility, honesty, peer acceptance and loyalty. ""Disney's Teacher's Pet"" - Via a magical transformation, nine-year-old Leonard Helperman's dog, Spot, discovers that he is able to talk and walk upright. He seizes the opportunity to fulfill a lifelong ambition - to go to school. Dressed in some of Leonard's clothes, Spot becomes Scott Leadready reveling in the challenge of learning fourth-grade spelling, math and history. The fourth-grade teacher, Mrs. Helperman, is Leonard's mother. She is also a single parent. This series is built around the privilege of being able to attend school and the value of education. Stories teach honesty, cooperation, peer team work, problem-solving, respect for rules (particularly in the school setting) and empathy. Spot's/Scott's extraordinarily wide vocabulary introduces children to new vocabulary and its meaning in context.",99,N/A,N/A,N/A,,,,,
2000,WMUR-TV,ABC,"Boston, MA",3,Analog,Disney's the Weekenders,Core,Network,Saturdays 8:30-9AM,4,0,30,8,12,"This series introduces four twelve-year-olds that have been friends since kindergarten. They attend middle school in southern California and spend time together on weekends. Their family circumstances are diverse: Tino is the only son of a single mother; Carver is the middle child in an affluent African-American family; Tish comes from an Eastern European immigrant family and Lor is the only girl among fourteen sports-minded brothers. Stories explore topics such as parent/child relations, sibling rivalry, acculturation, competition vs. compromise, responsibility, honesty, peer acceptance and loyalty.",99,N/A,N/A,N/A,,,,,
2000,WMUR-TV,ABC,"Boston, MA",3,Analog,Disney's Recess,Core,Network,Saturdays 9-9:30AM,4,0,30,8,12,"""Disney's Recess"" is a collection of animated stories about six fourth-grade children who attend public school. These children are an ethnically and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to middle childhood: conflicts with authority figures, school and family rules, issues of fairness, peer pressure and coping with disappointment. A number of episodes revolve around class bullies or teacher's pets. Series episodes provide opportunities for parent/child discussions about values.",99,N/A,N/A,N/A,,,,,
2000,WMUR-TV,ABC,"Boston, MA",3,Analog,Disney's Recess,Core,Network,Saturdays 9:30-10AM,4,0,30,8,12,"""Disney's Recess"" is a collection of animated stories about six fourth-grade children who attend public school. These children are an ethnically and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to middle childhood: conflicts with authority figures, school and family rules, issues of fairness, peer pressure and coping with disappointment. A number of episodes revolve around class bullies or teacher's pets. Series episodes provide opportunities for parent/child discussions about values.",99,N/A,N/A,N/A,,,,,
2000,WMUR-TV,ABC,"Boston, MA",3,Analog,Disney's Teacher's Pet,Core,Network,Saturdays 10-10:30AM,4,0,30,8,12,"Via a magical transformation, nine-year-old Leonard Helperman's dog, Spot, discovers that he is able to talk and walk upright. He seizes the opportunity to fulfill a lifelong ambition - to go to school. Dressed in some of Leonard's clothes, Spot becomes Scott Leadready reveling in the challenge of learning fourth-grade spelling, math and history. The fourth-grade teacher, Mrs. Helperman, is Leonard's mother. She is also a single parent. This series is built around the privilege of being able to attend school and the value of education. Stories teach honesty, cooperation, peer teamwork, problem solving, respect for rules (particularly in the school setting) and empathy. Spot's/Scott's extraordinarily wide vocabulary introduces children to new vocabulary and its meaning in context.",99,N/A,N/A,N/A,,,,,
2000,WMUR-TV,ABC,"Boston, MA",3,Analog,Disney's Recess,Core,Network,Saturdays 10:30-11AM,1,0,30,8,12,"""Disney's Recess"" is a collection of animated stories about six fourth-grade children who attend public school. These children are an ethnically and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to middle childhood: conflicts with authority figures, school and family rules, issues of fairness, peer pressure and coping with disappointment. A number of episodes revolve around class bullies or teacher's pets. Series episodes provide opportunities for parent/child discussions about values.",99,N/A,N/A,N/A,,,,,
2000,WMUR-TV,ABC,"Boston, MA",3,Analog,Disney's Pepper Ann,Core,Network,Saturdays 11-11:30AM & 11:30-12PM,13,0,30,10,12,"Pepper Ann is the daughter of a single working mother. She loves math and science and hopes to some day make a name for herself in biology or medicine. Pepper Ann and her Hazelnut Middle School friends demonstrate individuality, problem solving, perseverance, responsibility and creativity. While the primary educational focus of the series is building self-esteem, particularly that of girls, stories also break down gender and ethnic stereotypes and broaden the definition of ""family"".",99,N/A,N/A,N/A,,,,,
2000,WMUR-TV,ABC,"Boston, MA",3,Analog,Disney's Doug,Core,Network,Saturdays 11-11:30AM,12,0,30,8,12,"This series uses humor and fantasy in depicting a twelve-year-old boy's struggles to develop self-confidence, define identity, resolve family and school problems and maintain friendships. Narrated via the journal entries of aspiring writer/cartoonist Doug Funnie, episodes promote values such as honesty, loyalty, fairness and respect for individual differences. These stories also encourage creative writing and artistic expression.",99,N/A,N/A,N/A,,,,,
2000,WMUR-TV,ABC,"Boston, MA",3,Analog,"Sabrina, the Animated Series",Core,Network,Saturdays 11:30-12PM,1,0,30,8,12,"Twelve-year-old Sabrina Spellman, who is half witch and half mortal, is being raised in a non-traditional family consisting of her Uncle Quigley and two young aunts. Series episodes explore social and developmental issues such as peer pressure/competition, loyalty and friendship, responsibility, honesty, facing fears, speaking up for one's beliefs, etc.. Family issues such as divorce and remarriage and household rules are also addressed.",99,N/A,N/A,N/A,,,,,
2000,WMUR-TV,ABC,"Boston, MA",3,Analog,"Winnie the Pooh and Christmas, Too",Non-Core,Network,(12/3) Sunday 7-7:30PM,1,0,30,3,6,"Based on the classic ""Winnie the Pooh"" books by A.A. Milne, ""Winnie the Pooh and Christmas, Too"" depicts Christopher Robin and his companions (Pooh, Piglet, Rabbit, Tigger, Eeyore, Owl and Gopher) dealing with holiday gift giving. Each one comes to realize that holiday happiness is derived from giving, not receiving, and that being with friends is the nicest gift of all.",99,N/A,N/A,N/A,,,,,
2000,WNDS,N/A,"Boston, MA",3,Analog,L'il Iguana,Core,Local,Tuesdays 8-8:30AM & 2:30-3PM,24,0,30,3,16,"LIL' IGUANA IA A TALKING IGUANA PUPPET WHO, TOGETHER WITH HIS HUMAN CO-HORTS, TEACHES KIDS ABOUT SAFETY, TAKING CARE OF THEMSELVES AND OTHERS. tHIS IS DONE THROUGH FUN SONGS AND SKITS.",99,N/A,N/A,N/A,,,,,
2000,WNDS,N/A,"Boston, MA",3,Analog,Popular Mechanics for Kids,Core,Syndicated,Thursdays 2:30-3PM,12,0,30,6,16,"THIS SHOW TEACHES KIDS HOW CARS, TRUCKS, TRAINS AND OTHER THINGS RUN, HOW THEY ARE BUILT, ETC. IT'S VERY EDUCATIONAL AND SHOWS KIDS HOW TO RESPECT MACHINES AND USE THEM WISELY.",99,N/A,N/A,N/A,,,,,
2000,WNDS,N/A,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Syndicated,Fridays 2:30-3PM,12,0,30,7,16,"JACK HANNA TAKES VIEWERS TO FOREIGN LANDS TO LEARN ABOUT THE ANIMALS THAT LIVE IN THE REGION. RESPECT FOR NATURE AND ANIMALS IS TAUGHT AS JACK EXPLAINS THAT ANIMALS ARE NOT TO BE FEARED, BUT RESPECTED.",99,N/A,N/A,N/A,,,,,
2000,WNDS,N/A,"Boston, MA",3,Analog,Did You Ever Wonder,Core,Syndicated,Mondays 2:30-3PM,12,0,30,6,12,"THIS SHOW ILLUSTRATES, THROUGH LIVE FOOTAGE AND MUSIC, JUST HOW THINGS ARE MADE. IT SHOWS THE MANUFACTURING PROCESS, FROM BEGINNING TO END, OF SUCH THINGS AS CANDY, TOY TRAINS, LAWN MOWERS, ETC. IT SHOWS VIEWERS HOW DESIGN AND PLANNING ARE IMPORTANT TO GET THE DESIRED RESULTS.",99,N/A,N/A,N/A,,,,,
2000,WNDS,N/A,"Boston, MA",3,Analog,Full House,Non-Core,Syndicated,Mon-Fri 3:30-4PM,65,0,30,7,16,"A FAMILY HAS LOST ITS MOTHER. TO RECOVER, THE FATHER ENLISTS HIS TWO FRIENDS TO TEACH HIS THREE DAUGHTERS GOOD ETHICS, MORAL AND MANNERS. EVERYONE IN THE FAMILY LEARNS SOME THINGS ABOUT THEMSELVES, ALSO.",99,N/A,N/A,N/A,,,,,
2000,WPXB,N/A,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Fri 1-1:30PM & 1:30-2PM,30,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WPXB,N/A,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Thurs 1-1:30PM,24,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WPXB,N/A,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Fridays 1-1:30PM & 1:30-2PM,20,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WPXB,N/A,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Thurs 1:30-2PM,16,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WPXG,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Fri 1-1:30PM & 1:30-2PM,30,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WPXG,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Thur 1-1:30PM,24,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WPXG,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Fridays 1-1:30PM & 1:30-2PM,20,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WPXG,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Thur 1:30-2PM,16,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WSBK,UPN,"Boston, MA",3,Analog,Disney's Recess,Core,Network,Mon-Fri 7:30-8AM,65,0,30,2,11,"""Disney's Recess"" follows the adventures and misadventures of six friends in their school playground as they struggle through the whirlwind of growing up. Issues covered include friendship, honesty, and the difference between right and wrong.",99,N/A,N/A,N/A,,,,,
2000,WSBK,UPN,"Boston, MA",3,Analog,Disney's Recess,Core,Network,Sundays 10-10:30AM,13,0,30,2,11,"""Disney's Recess"" follows the adventures and misadventures of six friends in their school playground as they struggle through the whirlwind of growing up. Issues covered include friendship, honesty, and the difference between right and wrong.",99,N/A,N/A,N/A,,,,,
2000,WSBK,UPN,"Boston, MA",3,Analog,Teen Files: New England,Non-Core,Local,(12/2) Saturday 7-7:30AM,1,0,30,13,16,"This local program explores the issue of violence, including gun violence, dating violence, and violence in the media, and how these issues affect local teens.",99,N/A,N/A,N/A,,,,,
2000,WSBK,UPN,"Boston, MA",3,Analog,Teen Files: New England,Non-Core,Local,(12/23) Saturday 6-6:30PM,1,0,30,13,16,"This episode tackles the issue of ""surviving high school"" in the New England area. We talk with teens throughout New England about fitting in, body image & eating disorders, and depression & suicide.",99,N/A,N/A,N/A,,,,,
2000,WSBK,UPN,"Boston, MA",3,Analog,Disney's Doug,Non-Core,Network,(10/1) Sunday 9-9:30AM,1,0,30,6,11,"Disney's Doug follows the trials and tribulations of young man, Doug Funnie, and his friends, as they struggle through the ups and downs of growing up. Through Doug's relationships with family, friends, and teachers, issues like peer pressure, friendship, and honesty are explored",99,N/A,N/A,N/A,,,,,
2000,WUNI,N/A,"Boston, MA",4.4,Analog,Plasa Sesamo,Core,Network,Sat & Sun 8-9AM,24,0,60,2,5,"PROVIDES READING READINESS TRAINING, EARLY MATHEMATICS SKILLS, EDUCATION IN HEALTH, HYGEINE AND NUTRITION, AND PROVIDES ENCOURAGEMENT AND STIMULATION FOR ACADEMIC SUCCESS. PRODUCED BY CTW SPECIFICALLY FOR A SPANISH-LANGUAGE AUDIENCE.",99,N/A,N/A,N/A,,,,,
2000,WUNI,N/A,"Boston, MA",4.4,Analog,Carrusel de las Americas,Core,Network,Saturdays 7-8AM,9,0,60,6,11,"""CARRUSEL"" TEACHES LESSONS IN HISTORY AND GEOGRAPHY THAT THE VIEWER LEARNS ALONG WITH THE TELEVISION CLASSMATES. THE LESSONS ARE DEDICATED TO THE HISTORY OF THE AMERICAS, CONCENTRATING ON THE DISCOVERY AND SETTLING OF THE AMERICAS, THE HISTORY OF SLAVERY AND THE MEXICAN REVOLUTION. THE SHOW TEACHES THE IMPACT OF THE EXPLORATIONS AND DISCOVERY OF THE AMERICAS ON THE CONQUERORS AND THE INDIGENOUS PEOPLES. THE SERIES AIMS TO TEACH ALL CHILDREN OF THE AMERICAS BOUT THEIR COMMONALITY ROOTED IN THEIR SHARED ORIGINS.",99,N/A,N/A,N/A,,,,,
2000,WUNI,N/A,"Boston, MA",4.4,Analog,Serafin,Core,Network,Saturdays 7-8AM (12/9) & 7-9AM (12/16) & 7-8AM (12/2),5,0,60,8,11,"Dora and her best friend, a monkey named Boots, invite the viewer to participate in an exciting adventure. Each step on the journey presents some kind of problem or puzzle and Dora is proudly bilingual, using that knowledge to communicate with her friends, overcome obstacles, and reach her goal. Dora enriches her world by providing preschoolers with lessons in language and culture while serving as a role model for children by developing self-confidence and a positive self-image by embracing herself for who she is, where she comes from, and what she will one day grow up to be.",99,N/A,N/A,N/A,,,,,
2000,WWDP,N/A,"Boston, MA",5,Analog,Oye Arnold,Core,Syndicated,Saturdays 7-7:30AM,9,0,30,6,11,"Oye Arnold presents a fresh look at life in the big city from a child's point of view. The program focuses on Arnold, the principal character and his friends as they learn to deal with challenges, fears, temptations, and responsibility.",99,N/A,N/A,N/A,,,,,
2000,WWDP,N/A,"Boston, MA",5,Analog,Oye Arnold,Core,Syndicated,Sat & Sun 8-8:30AM,27,0,30,6,11,"Oye Arnold presents a fresh look at life in the big city from a child's point of view. The program focuses on Arnold, the principal character and his friends as they learn to deal with challenges, fears, temptations, and responsibility.",99,N/A,N/A,N/A,,,,,
2000,WWDP,N/A,"Boston, MA",5,Analog,Aventura en Panales,Core,Syndicated,Saturdays 7:30-8AM,9,0,30,6,8,"Aventura en Panales takes children on a tour of the world that exists between your knees and the floor. It is a baby's-eye view of life that takes the main character, one-year-old Tommy Pickles, and his friends on adventures that explore the way everyday experiences can be fantastic. They discover magic, danger and comic adventure in our world. They venture into the unknown led by their curiosity and innocent love of mischief. The animation emphasizes perspective, often exaggerating sizes and shapes to reflect a child's point of view.",99,N/A,N/A,N/A,,,,,
2000,WWDP,N/A,"Boston, MA",5,Analog,Aventura en Panales,Core,Syndicated,Sat & Sun 8:30-9AM,27,0,30,4,8,"Aventura en Panales takes children on a tour of the world that exists between your knees and the floor. It is a baby's-eye view of life that takes the main character, one-year-old Tommy Pickles, and his friends on adventures that explore the way everyday experiences can be fantastic. They discover magic, danger and comic adventure in our world. They venture into the unknown led by their curiosity and innocent love of mischief. The animation emphasizes perspective, often exaggerating sizes and shapes to reflect a child's point of view.",99,N/A,N/A,N/A,,,,,
2000,WWDP,N/A,"Boston, MA",5,Analog,Lift-Off,Core,Syndicated,Saturdays 9-9:30AM & 9:30-10AM,26,0,30,3,8,"Lift-off is a storybook program. Each program presents a group of characters in a different adventure. Through these stories the protagonists, children, discover that they are able to face certain situations and resolve their daily problems. Each day a story teaches a different lesson regarding the community, friendship, relationships, and experiences they will encounter in the future. Children also learn the meaning of hope, perseverance, tolerance, and how dreams come true.",99,N/A,N/A,N/A,,,,,
2000,WWDP,N/A,"Boston, MA",5,Analog,Pistas de Blue,Core,Syndicated,Sundays 7-7:30AM,14,0,30,2,6,"Pistas de Blue is an interactive pre-school program, which teaches children how to use the basic tools for critical thinking and reasoning, before going to school for the first time. Clues are given throughout the program by Steve the principal host and his dog Blue.",99,N/A,N/A,N/A,,,,,
2000,WWDP,N/A,"Boston, MA",5,Analog,Dora the Explorer,Core,Syndicated,Sundays 7:30-8AM,14,0,30,2,6,"Dora and her best friend, a monkey named Boots, invite the viewer to participate in an exciting adventure. Each step on the journey presents some kind of problem or puzzle and Dora is proudly bilingual, using that knowledge to communicate with her friends, overcome obstacles, and reach her goal. Dora enriches her world by providing preschoolers with lessons in language and culture while serving as a role model for children by developing self-confidence and a positive self-image by embracing herself for who she is, where she comes from, and what she will one day grow up to be.",99,N/A,N/A,N/A,,,,,
